Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Status
AA,05/14/2024,2348,N710UW,CLT,07:06,08:00,54
AA,05/14/2024,2416,N716UW,CLT,18:32,18:31,-1
AA,05/15/2023,739,N751UW,DFW,16:28,16:35,7
AA,05/15/2023,750,N822AW,CLT,20:21,20:13,-8
AA,05/15/2023,769,N762US,CLT,14:37,09:17,1120
AA,05/15/2023,2651,N822AW,CLT,06:45,06:47,2
AA,05/15/2023,2730,N813AW,CLT,11:04,11:12,8
AA,05/15/2024,2311,N661AW,DFW,16:30,17:59,89
AA,05/15/2024,2348,N749US,CLT,07:06,08:03,57
AA,05/15/2024,2416,N721UW,CLT,18:32,00:00,0
AA,05/16/2023,739,N775XF,DFW,16:28,16:28,0
AA,05/16/2023,769,N774XF,CLT,14:37,14:33,-4
AA,05/16/2023,2651,N748UW,CLT,06:45,06:59,14
AA,05/16/2023,2730,N766US,CLT,11:04,11:02,-2
AA,05/16/2024,2311,N653AW,DFW,16:30,17:22,52
AA,05/16/2024,2348,N760US,CLT,07:06,07:11,5
AA,05/16/2024,2416,N711UW,CLT,18:32,18:54,22
AA,05/17/2023,739,N767UW,DFW,16:28,16:40,12
AA,05/17/2023,750,N714US,CLT,20:21,20:11,-10
AA,05/17/2023,769,N772XF,CLT,14:37,16:04,87
AA,05/17/2023,2651,N9018E,CLT,06:45,06:36,-9
AA,05/17/2023,2730,N722US,CLT,11:04,11:16,12
AA,05/17/2024,2311,N114UW,DFW,16:30,17:08,38
AA,05/17/2024,2348,N835AW,CLT,07:06,07:06,0
AA,05/17/2024,2416,N9023N,CLT,18:32,21:26,174
AA,05/18/2023,739,N708UW,DFW,16:28,16:53,25
AA,05/18/2023,750,N773XF,CLT,20:21,20:11,-10
AA,05/18/2023,769,N823AW,CLT,14:37,14:46,9
AA,05/18/2023,2651,N801AW,CLT,06:45,06:38,-7
AA,05/18/2023,2730,N838AW,CLT,11:04,11:10,6
AA,05/18/2024,2311,N680AW,DFW,16:30,16:34,4
AA,05/18/2024,2348,N9004F,CLT,07:06,07:07,1
AA,05/18/2024,2416,N775XF,CLT,19:48,20:14,26
AA,05/19/2023,739,N817AW,DFW,16:28,19:57,209
AA,05/19/2023,750,N824AW,CLT,20:21,21:01,40
AA,05/19/2023,769,N749US,CLT,14:37,14:48,11
AA,05/19/2023,2651,N737US,CLT,06:45,06:48,3
AA,05/19/2023,2730,N774XF,CLT,11:04,11:12,8
AA,05/19/2024,2311,N667AW,DFW,16:30,18:33,123
AA,05/19/2024,2348,N723UW,CLT,07:06,07:47,41
AA,05/19/2024,2416,N771XF,CLT,18:32,19:00,28
AA,05/20/2023,739,N762US,DFW,16:28,16:34,6
AA,05/20/2023,2651,N774XF,CLT,06:45,06:44,-1
AA,05/20/2024,2311,N669AW,DFW,16:30,16:32,2
AA,05/20/2024,2348,N828AW,CLT,07:06,07:16,10
AA,05/20/2024,2416,N753US,CLT,18:32,19:11,39
AA,05/21/2023,739,N751UW,DFW,16:28,16:35,7
AA,05/21/2023,750,N749US,CLT,20:21,20:22,1
AA,05/21/2023,769,N764US,CLT,14:37,14:34,-3
AA,05/21/2023,2651,N673AW,CLT,06:45,06:41,-4
AA,05/21/2023,2730,N839AW,CLT,11:04,11:21,17
AA,05/21/2024,2311,N121UW,DFW,16:30,17:09,39
AA,05/21/2024,2348,N824AW,CLT,07:06,08:24,78
AA,05/21/2024,2416,N704US,CLT,18:32,19:02,30
AA,05/22/2023,739,N806AW,DFW,16:28,16:25,-3
AA,05/22/2023,750,N741UW,CLT,20:21,20:14,-7
AA,05/22/2023,769,N745VJ,CLT,14:37,14:56,19
AA,05/22/2023,2651,N745VJ,CLT,06:45,06:41,-4
AA,05/22/2023,2730,N747UW,CLT,11:04,11:01,-3
AA,05/22/2024,2311,N107US,DFW,16:30,16:42,12
AA,05/22/2024,2348,N755US,CLT,07:06,07:05,-1
AA,05/22/2024,2416,N730US,CLT,18:32,20:35,123
AA,05/23/2023,739,N740UW,DFW,16:28,16:16,-12
AA,05/23/2023,769,N701UW,CLT,14:37,14:35,-2
AA,05/23/2023,2651,N722US,CLT,06:45,06:41,-4
AA,05/23/2023,2730,N824AW,CLT,11:04,11:17,13
AA,05/23/2024,2311,N656AW,DFW,16:28,17:26,58
AA,05/23/2024,2348,N705UW,CLT,07:06,07:02,-4
AA,05/23/2024,2416,N756US,CLT,18:32,19:04,32
AA,05/24/2023,739,N835AW,DFW,16:28,16:32,4
AA,05/24/2023,750,N840AW,CLT,20:21,20:13,-8
AA,05/24/2023,769,N752US,CLT,14:37,14:55,18
AA,05/24/2023,2651,N839AW,CLT,06:45,06:44,-1
AA,05/24/2023,2730,N722US,CLT,11:04,11:06,2
AA,05/24/2024,2311,N650AW,DFW,16:30,16:36,6
AA,05/24/2024,2348,N709UW,CLT,07:06,07:03,-3
AA,05/24/2024,2416,N703UW,CLT,18:32,18:51,19
AA,05/25/2023,739,N823AW,DFW,16:28,16:21,-7
AA,05/25/2023,750,N821AW,CLT,20:21,20:12,-9
AA,05/25/2023,769,N813AW,CLT,14:37,14:35,-2
AA,05/25/2023,2651,N839AW,CLT,06:45,06:42,-3
AA,05/25/2023,2730,N714US,CLT,11:04,11:07,3
AA,05/25/2024,2311,N651AW,DFW,16:30,16:42,12
AA,05/25/2024,2348,N712US,CLT,07:06,07:11,5
AA,05/25/2024,2416,N709UW,CLT,19:48,20:34,46
AA,05/26/2023,739,N833AW,DFW,16:28,16:31,3
AA,05/26/2023,750,N769US,CLT,20:21,20:07,-14
AA,05/26/2023,769,N747UW,CLT,14:37,14:35,-2
AA,05/26/2023,2651,N177XF,CLT,06:45,06:32,-13
AA,05/26/2023,2730,N177XF,CLT,11:04,11:00,-4
AA,05/26/2024,2311,N661AW,DFW,16:30,16:29,-1
AA,05/26/2024,2348,N709UW,CLT,07:06,07:04,-2
AA,05/26/2024,2416,N819AW,CLT,18:32,18:47,15
AA,05/27/2023,739,N742PS,DFW,16:28,16:26,-2
AA,05/27/2023,2651,N723UW,CLT,06:45,06:50,5
AA,05/27/2024,2311,N650AW,DFW,16:30,20:29,239
AA,05/27/2024,2348,N749US,CLT,07:06,07:04,-2
AA,05/27/2024,2416,N721UW,CLT,18:32,18:50,18
AA,05/28/2023,739,N823AW,DFW,16:28,16:48,20
AA,05/28/2023,750,N704US,CLT,20:21,20:16,-5
AA,05/28/2023,769,N724UW,CLT,14:37,14:32,-5
AA,05/28/2023,2651,N710UW,CLT,06:45,06:43,-2
AA,05/28/2023,2730,N708UW,CLT,11:04,11:00,-4
AA,05/28/2024,2311,N680AW,DFW,16:30,20:37,247
AA,05/28/2024,2348,N723UW,CLT,07:06,09:16,130
AA,05/28/2024,2416,N809AW,CLT,18:32,20:08,96
AA,05/29/2023,739,N775XF,DFW,16:28,16:26,-2
AA,05/29/2023,750,N815AW,CLT,20:21,20:48,27
AA,05/29/2023,769,N768US,CLT,14:37,14:35,-2
AA,05/29/2023,2651,N738US,CLT,06:45,06:43,-2
AA,05/29/2023,2730,N752US,CLT,11:04,11:01,-3
AA,05/29/2024,2311,N654AW,DFW,16:30,16:30,0
AA,05/29/2024,2348,N721UW,CLT,07:06,00:00,0
AA,05/29/2024,2416,N835AW,CLT,18:32,18:31,-1
AA,05/30/2023,739,N833AW,DFW,16:28,16:24,-4
AA,05/30/2023,769,N716UW,CLT,14:37,14:47,10
AA,05/30/2023,2651,N723UW,CLT,06:45,06:41,-4
AA,05/30/2023,2730,N9010R,CLT,11:04,11:05,1
AA,05/30/2024,2311,N604AW,DFW,16:30,00:00,0
AA,05/30/2024,2348,N705UW,CLT,07:06,07:01,-5
AA,05/30/2024,2416,N709UW,CLT,18:32,18:41,9
AA,05/31/2023,739,N762US,DFW,16:28,20:12,224
AA,05/31/2023,750,N703UW,CLT,20:21,20:28,7
AA,05/31/2023,769,N804AW,CLT,14:37,14:36,-1
AA,05/31/2023,2651,N703UW,CLT,06:45,06:38,-7
AA,05/31/2023,2730,N724UW,CLT,11:04,13:31,147
AA,05/31/2024,2311,N669AW,DFW,16:30,00:00,0
AA,05/31/2024,2348,N737US,CLT,07:06,07:04,-2
AA,05/31/2024,2416,N804AW,CLT,18:32,18:32,0
AA,06-01-2023,364,N832AW,CLT,14:41,14:38,-3
AA,06-01-2023,884,N117UW,DFW,16:37,16:36,-1
AA,06-01-2023,1402,N9023N,CLT,18:02,18:14,12
AA,06-01-2023,2988,N716UW,CLT,06:50,06:46,-4
AA,06-01-2024,2311,N119US,DFW,16:30,00:00,0
AA,06-01-2024,2348,N825AW,CLT,07:06,07:12,6
AA,06-01-2024,2416,N737US,CLT,19:48,19:51,3
AA,06-02-2023,364,N738US,CLT,14:41,14:41,0
